#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
    12.563   7.6404E-22   9.6036E-24   7.7364E-22
    12.710   7.1157E-22   9.1139E-24   7.2069E-22
    12.858   5.2750E-22   8.6503E-24   5.3615E-22
    13.009   4.1016E-22   8.2387E-24   4.1840E-22
    13.161   3.6347E-22   7.8734E-24   3.7135E-22
    13.314   3.6630E-22   7.5233E-24   3.7382E-22
    13.470   3.7929E-22   7.2013E-24   3.8649E-22
    13.627   3.3571E-22   6.9114E-24   3.4263E-22
    13.787   2.8580E-22   6.6864E-24   2.9249E-22
    13.948   2.6263E-22   6.5657E-24   2.6920E-22
    14.111   2.6603E-22   6.5422E-24   2.7257E-22
    14.276   2.5425E-22   6.6247E-24   2.6088E-22
    14.442   2.2653E-22   6.7946E-24   2.3332E-22
    14.611   2.1370E-22   7.0327E-24   2.2073E-22
    14.782   2.0689E-22   7.3311E-24   2.1422E-22
    14.954   2.0259E-22   7.6396E-24   2.1023E-22
    15.129   1.9956E-22   7.9676E-24   2.0753E-22
    15.306   1.9757E-22   8.3291E-24   2.0590E-22
    15.485   1.9660E-22   8.7162E-24   2.0532E-22
    15.666   1.9740E-22   9.1273E-24   2.0653E-22
    15.849   2.0200E-22   9.5592E-24   2.1156E-22
    16.034   2.0564E-22   1.0011E-23   2.1565E-22
    16.221   2.2050E-22   1.0478E-23   2.3098E-22
    16.411   2.9396E-22   1.0962E-23   3.0493E-22
    16.603   2.5558E-22   1.1449E-23   2.6703E-22
    16.797   2.4938E-22   1.1930E-23   2.6131E-22
    16.993   2.5601E-22   1.2391E-23   2.6840E-22
    17.191   2.4947E-22   1.2836E-23   2.6230E-22
    17.392   2.4424E-22   1.3274E-23   2.5751E-22
    17.596   2.0312E-22   1.3680E-23   2.1680E-22
    17.801   1.8967E-22   1.4040E-23   2.0371E-22
    18.009   1.7305E-22   1.4344E-23   1.8740E-22
    18.220   1.5933E-22   1.4596E-23   1.7393E-22
    18.432   1.5169E-22   1.4799E-23   1.6649E-22
    18.648   1.4794E-22   1.4941E-23   1.6288E-22
    18.866   1.5190E-22   1.5019E-23   1.6692E-22
    19.086   1.4138E-22   1.5034E-23   1.5641E-22
    19.309   1.3144E-22   1.4992E-23   1.4643E-22
    19.535   1.2591E-22   1.4896E-23   1.4080E-22
    19.763   1.2172E-22   1.4753E-23   1.3647E-22
    19.994   1.1796E-22   1.4571E-23   1.3253E-22
    20.228   1.1452E-22   1.4376E-23   1.2889E-22
    20.464   1.1126E-22   1.4215E-23   1.2548E-22
    20.703   1.0828E-22   1.4104E-23   1.2239E-22
    20.945   1.0541E-22   1.3988E-23   1.1940E-22
    21.190   1.0264E-22   1.3854E-23   1.1649E-22
    21.437   1.0006E-22   1.3730E-23   1.1379E-22
    21.688   9.7564E-23   1.3640E-23   1.1120E-22
